#t, S, I, R
1.757979 983.447567 16.004985 0.547448 
1.761812 983.387238 16.062860 0.549902 
1.765644 983.326689 16.120946 0.552365 
1.769478 983.265919 16.179244 0.554837 
1.773311 983.204927 16.237755 0.557318 
1.777145 983.143712 16.296479 0.559808 
1.780979 983.082274 16.355418 0.562308 
1.784814 983.020611 16.414572 0.564817 
1.788649 982.958723 16.473942 0.567335 
1.792485 982.896609 16.533529 0.569863 
1.796320 982.834267 16.593333 0.572400 
1.800157 982.771698 16.653355 0.574946 
1.803993 982.708901 16.713597 0.577502 
1.807830 982.645873 16.774059 0.580068 
1.811667 982.582616 16.834741 0.582643 
1.815505 982.519127 16.895646 0.585227 
1.819343 982.455406 16.956772 0.587821 
1.823182 982.391453 17.018122 0.590425 
1.827021 982.327265 17.079696 0.593039 
1.830860 982.262843 17.141495 0.595662 
1.834700 982.198185 17.203520 0.598295 
1.838540 982.133291 17.265771 0.600938 
1.842381 982.068159 17.328250 0.603591 
1.846221 982.002789 17.390958 0.606253 
1.850063 981.937180 17.453894 0.608926 
1.853904 981.871331 17.517061 0.611608 
1.857747 981.805242 17.580458 0.614300 
1.861589 981.738910 17.644087 0.617003 
1.865432 981.672336 17.707949 0.619715 
1.869275 981.605518 17.772044 0.622438 
1.873119 981.538455 17.836374 0.625171 
1.876963 981.471148 17.900939 0.627914 
1.880808 981.403594 17.965740 0.630667 
1.884653 981.335792 18.030778 0.633430 
1.888498 981.267743 18.096053 0.636204 
1.892344 981.199444 18.161568 0.638988 
1.896191 981.130895 18.227322 0.641783 
1.900037 981.062095 18.293317 0.644587 
1.903884 980.993044 18.359553 0.647403 
1.907732 980.923739 18.426032 0.650229 
1.911580 980.854181 18.492754 0.653065 
1.915428 980.784368 18.559720 0.655912 
1.919277 980.714299 18.626931 0.658770 
1.923127 980.643973 18.694388 0.661638 
1.926976 980.573390 18.762092 0.664517 
1.930826 980.502549 18.830044 0.667407 
1.934677 980.431447 18.898245 0.670308 
1.938528 980.360085 18.966695 0.673219 
1.942380 980.288462 19.035396 0.676141 
1.946231 980.216576 19.104349 0.679075 
1.950084 980.144427 19.173554 0.682019 
1.953937 980.072013 19.243013 0.684974 
1.957790 979.999334 19.312726 0.687940 
1.961644 979.926388 19.382694 0.690918 
1.965498 979.853175 19.452919 0.693906 
1.969352 979.779693 19.523401 0.696906 
1.973207 979.705942 19.594141 0.699917 
1.977063 979.631921 19.665140 0.702939 
1.980919 979.557627 19.736400 0.705973 
1.984775 979.483062 19.807921 0.709018 
1.988632 979.408223 19.879703 0.712074 
1.992490 979.333109 19.951749 0.715142 
1.996348 979.257720 20.024060 0.718221 
2.000206 979.182054 20.096635 0.721312 
2.004065 979.106110 20.169476 0.724414 
2.007924 979.029888 20.242585 0.727528 
2.011784 978.953385 20.315961 0.730653 
2.015644 978.876603 20.389607 0.733791 
2.019505 978.799538 20.463522 0.736940 
2.023366 978.722190 20.537709 0.740101 
2.027228 978.644558 20.612168 0.743274 
2.031090 978.566641 20.686900 0.746458 
2.034952 978.488438 20.761907 0.749655 
2.038815 978.409948 20.837188 0.752864 
2.042679 978.331170 20.912746 0.756084 
2.046543 978.252102 20.988581 0.759317 
2.050408 978.172743 21.064695 0.762562 
2.054273 978.093093 21.141088 0.765819 
2.058138 978.013151 21.217761 0.769088 
2.062004 977.932914 21.294716 0.772370 
2.065871 977.852383 21.371953 0.775664 
2.069738 977.771555 21.449474 0.778970 
2.073606 977.690431 21.527280 0.782289 
2.077474 977.609008 21.605371 0.785620 
2.081342 977.527286 21.683750 0.788964 
2.085212 977.445264 21.762416 0.792320 
2.089081 977.362940 21.841371 0.795689 
2.092951 977.280313 21.920616 0.799071 
2.096822 977.197382 22.000153 0.802465 
2.100693 977.114146 22.079982 0.805872 
2.104565 977.030604 22.160104 0.809292 
2.108437 976.946755 22.240520 0.812725 
2.112310 976.862597 22.321233 0.816171 
2.116183 976.778129 22.402241 0.819630 
2.120057 976.693350 22.483548 0.823101 
2.123931 976.608260 22.565154 0.826586 
2.127806 976.522856 22.647060 0.830084 
2.131682 976.437138 22.729267 0.833595 
2.135558 976.351104 22.811776 0.837120 
2.139434 976.264753 22.894589 0.840657 
2.143311 976.178241 22.977557 0.844202 
2.147182 976.091577 23.060670 0.847753 
2.151045 976.004759 23.143930 0.851311 
2.154902 975.917790 23.227335 0.854875 
2.158753 975.830667 23.310887 0.858446 
2.162596 975.743392 23.394584 0.862024 
2.166433 975.655965 23.478428 0.865608 
2.170263 975.568385 23.562417 0.869198 
2.174086 975.480652 23.646552 0.872795 
2.177903 975.392768 23.730833 0.876399 
2.181713 975.304730 23.815260 0.880010 
2.185516 975.216541 23.899833 0.883626 
2.189313 975.128199 23.984551 0.887250 
2.193103 975.039705 24.069415 0.890880 
2.196887 974.951058 24.154425 0.894517 
2.200664 974.862260 24.239581 0.898160 
2.204435 974.773309 24.324882 0.901810 
2.208199 974.684205 24.410329 0.905466 
2.211957 974.594950 24.495921 0.909129 
2.215708 974.505543 24.581659 0.912798 
2.219453 974.415983 24.667542 0.916475 
2.223192 974.326272 24.753571 0.920157 
2.226924 974.236408 24.839746 0.923846 
2.230650 974.146392 24.926066 0.927542 
2.234370 974.056224 25.012531 0.931245 
2.238083 973.965905 25.099141 0.934954 
2.241791 973.875433 25.185897 0.938669 
2.245492 973.784810 25.272799 0.942392 
2.249186 973.694034 25.359845 0.946120 
2.252875 973.603107 25.447037 0.949856 
2.256557 973.512028 25.534374 0.953598 
2.260233 973.420797 25.621857 0.957346 
2.263903 973.329414 25.709484 0.961101 
2.267567 973.237880 25.797257 0.964863 
2.271225 973.146194 25.885175 0.968631 
2.274877 973.054356 25.973238 0.972406 
2.278523 972.962367 26.061446 0.976188 
2.282163 972.870226 26.149799 0.979976 
2.285796 972.777933 26.238296 0.983770 
2.289424 972.685489 26.326939 0.987572 
2.293046 972.592893 26.415727 0.991379 
2.296662 972.500146 26.504660 0.995194 
2.300272 972.407247 26.593738 0.999015 
2.303876 972.314197 26.682960 1.002842 
2.307474 972.220863 26.772454 1.006682 
2.311072 972.127199 26.862266 1.010536 
2.314670 972.033202 26.952395 1.014403 
2.318270 971.938872 27.042843 1.018285 
2.321870 971.844208 27.133611 1.022181 
2.325472 971.749208 27.224701 1.026091 
2.329075 971.653871 27.316114 1.030015 
2.332678 971.558196 27.407849 1.033954 
2.336283 971.462183 27.499910 1.037907 
2.339889 971.365829 27.592297 1.041874 
2.343495 971.269134 27.685010 1.045856 
2.347103 971.172096 27.778051 1.049853 
2.350712 971.074714 27.871422 1.053864 
2.354322 970.976988 27.965123 1.057889 
2.357932 970.878915 28.059156 1.061929 
2.361544 970.780494 28.153521 1.065984 
2.365157 970.681726 28.248221 1.070054 
2.368771 970.582607 28.343255 1.074138 
2.372386 970.483137 28.438625 1.078238 
2.376002 970.383315 28.534333 1.082352 
2.379618 970.283139 28.630379 1.086481 
2.383236 970.182609 28.726765 1.090626 
2.386855 970.081723 28.823492 1.094785 
2.390475 969.980479 28.920561 1.098960 
2.394096 969.878878 29.017973 1.103150 
2.397718 969.776916 29.115729 1.107355 
2.401341 969.674594 29.213831 1.111575 
2.404964 969.571909 29.312280 1.115811 
2.408589 969.468861 29.411077 1.120062 
2.412215 969.365448 29.510223 1.124329 
2.415842 969.261669 29.609720 1.128611 
2.419470 969.157523 29.709568 1.132909 
2.423099 969.053008 29.809769 1.137223 
2.426729 968.948124 29.910324 1.141552 
2.430359 968.842868 30.011234 1.145898 
2.433991 968.737240 30.112501 1.150259 
2.437624 968.631239 30.214126 1.154635 
2.441258 968.524862 30.316110 1.159028 
2.444893 968.418109 30.418454 1.163437 
2.448528 968.310979 30.521159 1.167862 
2.452165 968.203469 30.624227 1.172303 
2.455803 968.095580 30.727660 1.176761 
2.459441 967.987309 30.831457 1.181234 
2.463081 967.878655 30.935621 1.185724 
2.466722 967.769617 31.040153 1.190230 
2.470363 967.660193 31.145054 1.194753 
2.474006 967.550382 31.250325 1.199292 
2.477650 967.440184 31.355968 1.203848 
2.481294 967.329595 31.461984 1.208420 
